STATE,FY_CLIPPED,STATE_YEAR_COAL_PRICE_MMBTU,STATE_YEAR_ELECTRICITY_PRICE_MMBTU,STATE_YEAR_NATURAL_GAS_PRICE_MMBTU,STATE_YEAR_PETROLEUM_PRICE_MMBTU,STATE_YEAR_TOTAL_PRICE_MMBTU,STATE_YEAR_ELEC_GAS_RATIO,CURRENT_PRICE_YEAR,CURRENT_COAL_PRICE_MMBTU,CURRENT_ELECTRICITY_PRICE_MMBTU,CURRENT_NATURAL_GAS_PRICE_MMBTU,CURRENT_PETROLEUM_PRICE_MMBTU,CURRENT_TOTAL_PRICE_MMBTU,CURRENT_ELEC_GAS_RATIO
CA,2018,3.53,38.69,6.89,22.77,14.58,5.615384615384615,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2019,3.41,39.27,7.44,22.42,14.76,5.278225806451613,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2020,3.54,41.82,7.3,18.73,14.58,5.728767123287671,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2021,3.6,43.43,9.43,24.29,17.26,4.605514316012726,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2022,4.02,50.08,13.27,31.96,23.12,3.7739261492087417,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2023,5.1,54.63,13.61,28.33,22.69,4.013960323291697,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2024,5.14,63.09,11.06,29.01,,5.704339963833635,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CO,1970,0.42,3.5,0.29,0.99,0.67,12.06896551724138,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1971,0.45,3.47,0.31,1.18,0.79,11.193548387096774,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1972,0.49,3.72,0.33,1.16,0.79,11.272727272727273,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1973,0.55,4.09,0.38,1.26,0.89,10.763157894736842,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1974,1.15,4.53,0.49,2.11,1.42,9.244897959183675,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1975,1.17,5.55,0.72,2.22,1.74,7.708333333333333,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1976,1.39,6.03,0.88,2.28,2.05,6.8522727272727275,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
CO,1977,1.42,6.35,1.24,2.48,2.32,5.120967741935484,2024,3.32,25.27,7.26,23.79,,3.4807162534435263
