ARC,ARC_2DIGIT,impl_rate,n_recs,median_benchmark_energy,median_benchmark_dollar,median_technical_total,median_real_historical_value,median_state_year_standardized_value,median_current_value,sector_mode,primary_source_group_mode,primary_fuel_bucket_mode
2.3417,2.3,0.11627906976744186,86,1117.2843860000035,267740.66000000003,17611.5,288665.5,310785.3341609,420679.42873368005,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.3412,2.3,0.0975609756097561,82,4258.476256,129087.5,9554.098151999999,161285.3209491187,171737.92351266,218005.48044214002,Unknown,electricity,electricity
2.3192,2.3,0.26153846153846155,65,0.0,23742.6,211.14138400000002,27979.85,3540.3638756,4805.57789984,Metal/Machinery/Electronics,electricity,electricity
2.3413,2.3,0.078125,64,0.0,103110.5,7338.64049,125227.05972495872,136999.50050868,179422.23281848,Unknown,electricity,electricity
2.3416,2.3,0.07692307692307693,52,22.031574000001456,367207.5,28388.887484,432075.3317772135,394071.87455884,624596.3999985601,Unknown,electricity,electricity
2.3414,2.3,0.12244897959183673,49,12216.773856,224192.0,15012.8,276152.95846616145,253716.31999999998,311560.36544,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.3321,2.3,0.09523809523809523,42,1768.802978,81776.0,6188.832316,87090.93178074647,103823.17597376,144283.51805184002,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.3512,2.3,0.35294117647058826,34,70.50045,1312.5,70.50045,2100.4639266092627,1228.18802384,1792.572338212,Unknown,electricity,electricity
2.3113,2.3,0.13793103448275862,29,56.09328,28327.0,56.09328,33896.0,835.7898720000001,1357.457376,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.3322,2.3,0.20689655172413793,29,714.087244,20946.0,748.2516,20946.0,20683.271040000003,27521.901696,Utilities,electricity,electricity
2.3141,2.3,0.14285714285714285,28,67.55179960000001,21034.5,67.55179960000001,21034.5,3536.589430782,3536.589430782,Metal/Machinery/Electronics,electricity,electricity
2.3312,2.3,0.21739130434782608,23,564.9623720000001,14209.0,564.9623720000001,14209.0,12773.799230920002,17312.14857424,Unknown,electricity,electricity
2.3411,2.3,0.13636363636363635,22,1345.184412,33393.5,2306.552944,51745.75043595859,32416.773273599996,48664.11709208001,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.3112,2.3,0.17647058823529413,17,8.233156000000001,24735.05,8.233156000000001,24735.05,256.25211840000003,296.30486988,Metal/Machinery/Electronics,electricity,electricity
2.3136,2.3,0.17647058823529413,17,73.99945600000001,835.0,73.99945600000001,1329.9176175890354,990.26551064,1433.3694627200002,Unknown,electricity,electricity
