ARC,ARC_2DIGIT,n_recs,energy_frac_q75,energy_frac_q90,value_frac_q75,value_frac_q90,energy_p25,energy_median,energy_p75,current_value_median,benchmark_dollar_median,payback_median,impl_rate_hist
2.2425,2.2,123,0.05469753728889333,0.1406762811589619,0.045691291963951816,0.11386961223768129,555.5,1566.0,3913.5,11309.119999999999,10400.0,1.4907312049434,0.18699186991869918
2.2426,2.2,122,0.07747016581158975,0.11712550858273729,0.05640553202877879,0.13575387261062707,583.5,1388.499662,4446.25,10400.955,7924.5,1.14,0.22131147540983606
2.2427,2.2,111,0.07344996659636904,0.1340331530857581,0.06281433576402493,0.11119927454092042,673.935,1421.0,4950.045,12448.800000000001,9563.0,1.271186440678,0.25225225225225223
2.2428,2.2,39,0.08189693523561264,0.13670621966038307,0.05267827527671808,0.14497407014243918,508.55,1732.0,4981.0,8772.45,7910.0,1.1666524127075,0.3076923076923077
2.2437,2.2,3615,0.0446610283640368,0.09152159072911868,0.031679862585028556,0.07208626766561993,205.28715,500.0,1407.0,3694.04,3400.0,0.90404396223757,0.28769017980636236
2.2441,2.2,173,0.0602050043509603,0.09891289506228779,0.041272992293321584,0.08679839298657609,615.384908,1322.0,4199.00068,9332.4,8856.0,0.99041617422666,0.2774566473988439
2.2442,2.2,294,0.06611488575580857,0.12688028418286332,0.04906608893338045,0.10734328443658556,503.25,1472.5,3955.75,10518.125,8977.0,1.1220161868661,0.2108843537414966
2.2443,2.2,351,0.08333461358423355,0.1607481347973473,0.06524106159602111,0.13393087917663912,317.0,1080.0,3165.0,9254.5,7150.0,1.58413241061405,0.28774928774928776
2.2444,2.2,214,0.09060274331263438,0.2621354652532115,0.08959787721871086,0.3277387081007144,524.5,1704.5,5428.5,12508.167500000001,8873.0,1.231310466139,0.2897196261682243
2.2447,2.2,104,0.08579828075135486,0.18437226433533102,0.059889769344025345,0.15143545352892798,380.25,1195.5,3545.75,10476.08,9179.5,1.6002560409666,0.2980769230769231
2.2449,2.2,272,0.07316125978892474,0.14460497889276883,0.06612122708360949,0.13043237087362253,447.5,1274.5,4218.25,8773.485,8828.174747000001,0.971023070138795,0.24632352941176472
